ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer
2968,1943,PhD,Divorced,48948.0,0,0,01-02-2013
8601,1980,Graduation,Married,80011.0,0,1,29-04-2013
503,1985,Master,Married,20559.0,1,0,12-03-2013
8430,1957,Graduation,Together,21994.0,0,1,24-12-2012
7281,1959,PhD,Single,,0,0,05-11-2013
2139,1975,Master,Married,7500.0,1,0,02-10-2013
1371,1976,Graduation,Single,79941.0,0,0,28-06-2014
9909,1996,2n Cycle,Married,7500.0,0,0,09-11-2012
7286,1968,Graduation,Together,41728.0,1,0,24-05-2013
7244,1951,Graduation,Single,,2,1,01-01-2014
6566,1954,PhD,Married,72550.0,1,1,08-11-2012
8614,1957,Graduation,Widow,65486.0,0,1,12-05-2014
4114,1964,Master,Married,79143.0,0,0,11-08-2012
1331,1977,Graduation,Single,35790.0,1,0,02-01-2013
2225,1977,Graduation,Divorced,82582.0,0,0,07-06-2014
9381,1978,Graduation,Married,66373.0,1,1,12-06-2013
6260,1955,Master,Together,82384.0,0,0,19-11-2012
10383,1966,Graduation,Divorced,70287.0,0,0,02-04-2013
7437,1988,Graduation,Single,27938.0,1,0,28-04-2014
8557,1982,Graduation,Single,,1,0,17-06-2013
8375,1968,PhD,Married,55954.0,0,1,03-03-2014
6853,1982,Master,Single,75777.0,0,0,04-07-2013
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012
1012,1952,Graduation,Single,61823.0,0,1,18-02-2013
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013
4137,1948,Graduation,Together,70666.0,0,0,06-12-2013
8082,1971,Graduation,Married,25721.0,1,0,21-05-2013
1386,1967,Graduation,Together,32474.0,1,1,11-05-2014
9369,1979,2n Cycle,Single,88194.0,0,1,19-03-2014
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013
1357,1970,Graduation,Together,74854.0,1,2,08-04-2013
1402,1954,Master,Married,66991.0,0,0,11-09-2012
10629,1973,2n Cycle,Married,,1,0,14-09-2012
6312,1959,Graduation,Married,65031.0,0,1,17-03-2013
8132,1975,PhD,Married,60631.0,1,1,05-04-2013
1050,1952,Graduation,Married,28332.0,0,0,30-04-2014
5846,1977,Graduation,Divorced,40246.0,1,0,19-12-2012
1859,1972,Master,Married,75251.0,0,0,27-08-2012
7503,1976,Graduation,Single,75825.0,0,0,12-10-2012
10401,1976,2n Cycle,Together,26326.0,0,0,04-09-2013
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013
3332,1985,Graduation,Single,29760.0,1,0,29-08-2012
2261,1969,Graduation,Married,26304.0,1,0,23-06-2013
5346,1973,2n Cycle,Married,23559.0,1,0,03-07-2013
4119,1963,Master,Together,38620.0,0,0,11-05-2013
535,1987,Graduation,Divorced,81361.0,0,0,25-02-2014
5268,1960,Graduation,Married,29440.0,1,1,11-08-2013
273,1970,Master,Married,36138.0,1,1,16-07-2013
4452,1957,Graduation,Single,50388.0,0,1,28-05-2014
8504,1973,Graduation,Married,79593.0,0,0,12-05-2014
771,1967,Graduation,Together,54178.0,0,1,21-01-2014
8996,1957,PhD,Married,,2,1,19-11-2012
9235,1957,Graduation,Single,,1,1,27-05-2014
5798,1973,Master,Together,,0,0,23-11-2013
11178,1972,Master,Single,42394.0,1,0,23-03-2014
2230,1970,PhD,Married,23626.0,1,0,24-05-2014
7516,1983,Graduation,Married,30096.0,1,0,22-05-2014
7247,1960,Graduation,Widow,47916.0,0,1,22-11-2012
11100,1972,Graduation,Divorced,51813.0,1,1,11-04-2013
4646,1951,2n Cycle,Married,78497.0,0,0,01-12-2013
3037,1983,PhD,Married,50150.0,0,0,20-06-2013
1473,1960,2n Cycle,Single,47823.0,0,1,23-07-2013
1016,1959,PhD,Single,34554.0,0,1,30-03-2014
4518,1979,Graduation,Together,85693.0,0,1,20-04-2013
9370,1945,PhD,Married,65846.0,0,0,17-05-2013
8908,1959,Graduation,Married,87195.0,0,0,08-05-2014
8373,1979,Basic,Together,24594.0,1,0,10-12-2013
7533,1964,Graduation,Married,49096.0,1,1,24-09-2013
2683,1969,Graduation,Married,52413.0,0,2,02-02-2013
3629,1978,Graduation,Single,38557.0,1,0,19-12-2012
10991,1960,Master,Married,89058.0,0,0,07-12-2012
5077,1979,Graduation,Together,77298.0,0,1,02-11-2013
7431,1991,PhD,Single,68126.0,0,0,10-11-2012
3267,1963,Master,Together,57288.0,0,1,25-06-2014
999,1991,Graduation,Single,86037.0,0,0,02-01-2013
9215,1980,PhD,Married,43974.0,1,0,12-12-2012
2286,1962,Graduation,Single,50785.0,1,1,10-09-2013
1592,1970,Graduation,Married,90765.0,0,0,24-01-2014
367,1978,2n Cycle,Married,36550.0,1,0,19-02-2013
5234,1967,2n Cycle,Together,30753.0,1,1,11-07-2013
9862,1969,Graduation,Together,21918.0,1,0,14-11-2013
9805,1953,Master,Together,56129.0,0,1,20-06-2013
6205,1967,Master,Single,32557.0,1,0,24-02-2014
8442,1985,Master,Married,19510.0,2,0,04-09-2013
7386,1976,Graduation,Divorced,30992.0,1,0,22-04-2013
7215,1983,Graduation,Single,101970.0,0,0,12-03-2013
1491,1965,2n Cycle,Together,71488.0,0,0,18-02-2013
11071,1984,Graduation,Single,79607.0,0,0,21-04-2013
3381,1953,Master,Married,54348.0,1,1,08-06-2014
8268,1961,PhD,Married,,0,1,11-07-2013
11051,1956,PhD,Together,77376.0,1,1,10-05-2014
8026,1952,Graduation,Married,62998.0,0,1,30-09-2013
433,1958,Master,Alone,61331.0,1,1,10-03-2013
9597,1969,Graduation,Married,73448.0,0,0,10-02-2014
1295,1963,Graduation,Married,,0,1,11-08-2013
5290,1964,PhD,Married,41551.0,1,1,14-08-2013
1685,1967,PhD,Together,62981.0,0,0,17-03-2013
5342,1976,Basic,Divorced,9548.0,1,0,08-08-2012
9579,1959,PhD,Married,33762.0,2,1,07-07-2013
7660,1973,PhD,Alone,35860.0,1,1,19-05-2014
1461,1965,PhD,Divorced,36921.0,1,1,28-07-2013
821,1992,Master,Single,92859.0,0,0,19-10-2012
11084,1976,Master,Together,65104.0,0,1,14-11-2013
8690,1962,Graduation,Married,86111.0,0,0,19-04-2013
2937,1974,PhD,Single,68352.0,0,1,28-08-2013
9701,1988,Graduation,Together,41883.0,1,0,19-03-2013
9949,1976,Graduation,Married,59809.0,0,2,18-10-2012
10837,1975,Graduation,Married,23957.0,1,0,28-10-2012
3120,1981,Graduation,Together,38547.0,1,0,28-08-2013
5885,1973,2n Cycle,Married,35688.0,2,1,22-08-2012
4050,1966,Master,Married,49605.0,0,0,21-06-2014
3830,1953,Master,Married,59354.0,0,2,24-04-2014
7987,1969,Graduation,Married,65747.0,0,1,07-03-2014
7798,1972,2n Cycle,Together,46344.0,0,1,14-12-2012
92,1988,Graduation,Alone,34176.0,1,0,12-05-2014
7055,1952,PhD,Together,61010.0,0,1,09-10-2012
10240,1949,Graduation,Together,69372.0,0,0,19-02-2013
3025,1958,Graduation,Single,49967.0,0,1,08-07-2013
9283,1978,Graduation,Single,60199.0,1,2,12-09-2013
9970,1977,Graduation,Together,55375.0,0,1,17-10-2013
2730,1955,Graduation,Single,80317.0,0,0,20-08-2013
2795,1958,Master,Single,30523.0,2,1,01-07-2013
9260,1945,PhD,Married,70356.0,0,0,05-11-2012
8182,1984,Graduation,Married,23228.0,1,0,05-01-2014
10095,1975,PhD,Divorced,74165.0,0,0,01-05-2013
8475,1973,PhD,Married,157243.0,0,1,01-03-2014
4370,1966,Graduation,Together,43482.0,2,1,13-11-2013
10573,1953,Graduation,Divorced,62551.0,0,0,18-11-2013
3712,1959,Graduation,Divorced,52332.0,0,0,28-08-2013
6637,1988,Graduation,Single,66951.0,0,0,02-11-2013
3152,1957,Graduation,Together,26091.0,1,1,25-02-2014
5610,1965,Graduation,Together,33456.0,1,1,21-04-2014
6460,1982,Graduation,Married,28718.0,1,0,13-07-2013
1349,1970,Graduation,Married,50447.0,2,0,21-04-2014
1880,1959,PhD,Together,53537.0,1,1,30-01-2014
641,1967,Graduation,Single,52074.0,0,1,04-04-2014
8717,1975,PhD,Married,80427.0,0,1,12-09-2012
10314,1948,PhD,Married,83837.0,0,0,16-12-2012
10854,1970,PhD,Married,38853.0,1,1,23-05-2014
10492,1959,Graduation,Together,38285.0,2,1,24-06-2014
6935,1951,2n Cycle,Married,78497.0,0,0,01-12-2013
7698,1976,PhD,Married,51650.0,0,1,11-05-2014
3559,1988,2n Cycle,Married,16248.0,1,0,10-05-2014
10562,1946,Master,Married,66835.0,0,0,28-09-2013
10796,1984,Master,Married,30477.0,1,0,22-01-2014
2563,1961,Basic,Married,28249.0,0,0,15-06-2014
3518,1983,Graduation,Married,25271.0,1,0,05-12-2012
5823,1970,PhD,Single,32303.0,0,1,08-03-2014
3934,1966,Graduation,Married,61286.0,0,1,02-08-2013
6982,1976,Graduation,Married,74068.0,0,0,19-03-2013
6431,1964,PhD,Married,45759.0,1,1,23-02-2013
9733,1978,Basic,Together,24882.0,1,0,09-09-2012
5602,1989,PhD,Together,66973.0,0,0,17-05-2013
7829,1900,2n Cycle,Divorced,36640.0,1,0,26-09-2013
1324,1988,Graduation,Married,38872.0,1,0,30-05-2013
326,1973,Graduation,Married,51148.0,1,1,18-02-2013
7224,1977,Graduation,Married,31353.0,1,1,29-12-2013
6999,1980,Master,Married,69661.0,0,0,13-05-2014
9938,1954,Graduation,Married,80067.0,0,0,19-09-2013
6422,1954,Graduation,Married,86718.0,0,0,17-01-2013
3182,1973,PhD,Single,46854.0,1,1,31-03-2014
7300,1952,Graduation,Divorced,69142.0,0,1,29-06-2014
10424,1968,Graduation,Single,75922.0,0,0,09-12-2013
8727,1978,Graduation,Divorced,63693.0,0,1,14-10-2013
2798,1977,PhD,Together,102160.0,0,0,02-11-2012
1030,1965,PhD,Single,40637.0,1,1,17-07-2013
624,1984,Master,Single,18890.0,0,0,10-11-2012
5176,1988,Graduation,Together,29604.0,1,0,08-12-2013
5552,1963,Master,Divorced,48721.0,1,1,13-05-2013
868,1966,Graduation,Married,44794.0,0,1,08-06-2014
380,1954,Graduation,Divorced,64497.0,0,1,10-09-2012
2677,1956,Graduation,Together,46097.0,0,1,31-03-2013
6521,1954,Graduation,Together,77972.0,0,0,18-03-2014
6927,1968,PhD,Married,44377.0,1,1,05-10-2012
2877,1974,Master,Together,46014.0,1,1,21-01-2013
0,1985,Graduation,Married,70951.0,0,0,04-05-2013
1584,1977,Graduation,Married,41443.0,1,0,01-04-2014
7264,1978,2n Cycle,Single,52195.0,2,1,12-05-2014
6274,1948,Master,Married,83790.0,0,0,15-11-2013
1377,1954,Master,Widow,44551.0,0,1,31-08-2013
454,1980,Graduation,Together,69508.0,1,0,14-11-2012
1755,1988,2n Cycle,Together,45204.0,1,0,11-04-2014
2075,1969,Graduation,Married,72460.0,0,0,14-11-2013
4785,1970,PhD,Together,77622.0,0,2,14-04-2014
9076,1980,PhD,Married,30732.0,1,0,05-01-2013
7079,1962,Graduation,Divorced,63887.0,0,1,08-09-2012
4653,1978,Graduation,Together,42011.0,1,0,26-03-2013
7375,1976,Graduation,Together,51369.0,0,1,25-10-2012
709,1952,Graduation,Divorced,51537.0,0,1,09-12-2012
460,1972,PhD,Married,79930.0,0,0,08-08-2012
3726,1986,PhD,Together,34320.0,1,0,16-02-2014
6798,1966,Graduation,Single,37070.0,1,1,20-03-2013
5341,1962,2n Cycle,Divorced,81975.0,0,1,05-01-2013
1606,1971,Graduation,Together,38590.0,1,0,15-05-2013
9617,1951,Graduation,Single,15033.0,0,0,16-04-2014
3233,1965,PhD,Married,62745.0,0,1,23-03-2013
89,1975,2n Cycle,Married,22212.0,1,0,09-12-2013
2936,1982,Master,Together,23661.0,1,0,04-12-2013
9449,1958,PhD,Single,79761.0,0,1,04-10-2013
7297,1973,Graduation,Single,7500.0,1,0,26-12-2013
11004,1893,2n Cycle,Single,60182.0,0,1,17-05-2014
313,1968,Graduation,Widow,73455.0,0,0,28-10-2013
9940,1958,Graduation,Together,64961.0,0,1,23-12-2012
10735,1971,Graduation,Single,22804.0,1,0,31-07-2013
9529,1990,Graduation,Married,73687.0,0,0,28-11-2013
6439,1958,Graduation,Married,61074.0,0,1,17-08-2012
7411,1964,PhD,Married,31686.0,1,1,05-06-2014
2176,1972,Graduation,Married,80134.0,1,0,20-05-2013
9265,1953,Graduation,Married,75027.0,0,1,09-01-2013
8867,1988,PhD,Married,67546.0,0,0,31-08-2012
8932,1969,Master,Together,65176.0,0,1,29-10-2012
10236,1975,Master,Single,31160.0,1,0,16-09-2013
6340,1985,Graduation,Single,29938.0,1,0,27-10-2013
10089,1974,Graduation,Divorced,102692.0,0,0,05-04-2013
2227,1958,2n Cycle,Together,26490.0,0,0,22-09-2012
10992,1967,Graduation,Together,75702.0,1,1,29-08-2012
5304,1974,PhD,Single,30899.0,1,0,13-10-2012
309,1961,PhD,Together,63342.0,0,1,16-10-2012
3406,1964,Graduation,Single,45989.0,0,1,22-10-2012
2661,1964,Graduation,Single,18701.0,1,1,04-06-2013
3153,1957,PhD,Single,40737.0,2,1,08-12-2013
10264,1979,Graduation,Divorced,15287.0,1,0,10-10-2012
1184,1968,PhD,Divorced,69674.0,0,2,22-05-2013
4200,1970,Master,Married,44159.0,1,0,17-06-2014
9396,1978,PhD,Married,37717.0,1,0,23-11-2012
2387,1952,Master,Together,43776.0,1,1,03-02-2013
6690,1966,Master,Married,38179.0,1,1,14-03-2013
1225,1963,Graduation,Married,80124.0,0,0,26-06-2014
9703,1970,PhD,Married,38097.0,1,1,15-10-2012
291,1970,Graduation,Married,72940.0,0,0,19-06-2013
4557,1970,Graduation,Together,22070.0,1,0,04-10-2013
2379,1953,Graduation,Single,69267.0,0,0,22-09-2012
5726,1983,Master,Single,31788.0,1,0,20-03-2014
3066,1975,PhD,Together,61905.0,0,1,04-02-2014
6336,1960,Graduation,Married,29315.0,1,1,06-04-2014
10967,1963,Graduation,Divorced,33378.0,1,1,06-02-2013
2304,1963,PhD,Together,66313.0,0,1,16-09-2013
3445,1956,Graduation,Single,60714.0,0,0,17-01-2013
7828,1981,Master,Together,77882.0,0,0,30-04-2014
3762,1986,PhD,Single,69867.0,0,0,02-04-2013
4391,1968,Master,Divorced,63841.0,0,1,21-04-2013
4669,1981,Basic,Married,24480.0,1,0,11-02-2013
10144,1976,Graduation,Together,51369.0,0,1,25-10-2012
8652,1946,Graduation,Together,37760.0,0,0,31-08-2012
1672,1974,PhD,Together,65640.0,0,1,01-03-2014
8962,1975,Master,Married,44319.0,1,1,17-04-2014
9974,1974,Graduation,Married,30631.0,1,0,12-07-2013
10983,1952,Graduation,Together,75278.0,0,0,29-01-2013
8148,1956,Master,Together,50898.0,1,1,08-01-2013
10102,1966,Graduation,Widow,79946.0,0,0,12-05-2014
4697,1949,Master,Divorced,35416.0,0,0,13-06-2013
9262,1984,2n Cycle,Together,32414.0,0,0,04-07-2013
7254,1969,Graduation,Together,38361.0,1,0,27-12-2013
4543,1980,Graduation,Married,82497.0,0,0,31-10-2012
4927,1971,Graduation,Together,16626.0,2,0,15-01-2014
10451,1965,Graduation,Together,29672.0,1,1,12-03-2013
2926,1952,Master,Together,55951.0,0,1,23-08-2012
2874,1988,2n Cycle,Divorced,35388.0,1,0,07-03-2013
9738,1986,Master,Together,42386.0,1,0,13-01-2013
7119,1982,Graduation,Single,68627.0,0,0,12-01-2013
3924,1965,PhD,Divorced,57912.0,0,1,17-03-2014
5827,1958,Graduation,Divorced,35246.0,1,1,16-04-2014
5596,1956,2n Cycle,Together,58821.0,0,1,12-10-2013
10812,1978,PhD,Married,46377.0,1,0,01-03-2014
1717,1988,Graduation,Single,39747.0,1,0,13-04-2014
9491,1984,Graduation,Together,23976.0,1,0,27-12-2013
9274,1961,Master,Married,80950.0,0,0,28-03-2013
6609,1966,Graduation,Widow,27038.0,0,0,18-09-2012
6963,1947,Graduation,Single,77457.0,0,0,05-03-2014
4440,1964,Master,Married,64100.0,0,1,10-09-2013
1379,1992,Master,Together,42670.0,0,0,27-04-2013
10032,1976,Graduation,Divorced,12571.0,1,0,18-01-2014
2826,1967,Graduation,Married,22574.0,2,1,28-10-2013
2437,1989,Graduation,Married,,0,0,03-06-2013
6320,1976,Master,Single,70893.0,0,0,06-02-2013
3050,1966,Graduation,Married,54198.0,1,1,17-12-2013
231,1956,Master,Together,28839.0,1,1,11-03-2014
2392,1972,Graduation,Married,40321.0,1,1,29-07-2013
9478,1985,Graduation,Single,66503.0,1,0,14-08-2012
113,1951,Graduation,Married,30833.0,1,1,16-07-2013
2863,1970,Graduation,Single,,1,2,23-08-2013
1802,1971,Graduation,Married,64795.0,0,1,17-01-2013
520,1974,Graduation,Married,34421.0,1,0,01-07-2013
8275,1965,PhD,Divorced,47025.0,1,1,09-02-2014
9750,1961,PhD,Divorced,64325.0,0,1,07-02-2013
2607,1953,Graduation,Single,40464.0,0,1,11-01-2013
7214,1957,Graduation,Married,62187.0,0,0,05-07-2013
5835,1976,PhD,Divorced,14849.0,1,0,02-07-2013
3896,1984,Graduation,Married,27255.0,1,0,07-11-2013
10350,1950,PhD,Married,54432.0,2,1,09-05-2013
7786,1986,PhD,Single,29999.0,1,0,13-02-2013
2861,1983,Graduation,Single,24072.0,1,0,16-04-2013
663,1989,PhD,Single,33996.0,0,0,11-09-2013
10675,1956,PhD,Married,66334.0,0,1,03-04-2013
2521,1971,Master,Married,35178.0,1,0,10-01-2013
9592,1983,Graduation,Together,22010.0,1,0,30-06-2013
10151,1960,Graduation,Divorced,62204.0,0,2,12-09-2012
7381,1968,Graduation,Divorced,75693.0,0,0,06-12-2012
4099,1972,Graduation,Married,30675.0,1,0,12-11-2012
9560,1965,Graduation,Together,83003.0,0,0,03-03-2013
1150,1899,PhD,Together,83532.0,0,0,26-09-2013
10172,1988,Graduation,Single,68655.0,0,0,10-08-2012
11191,1986,Graduation,Divorced,41411.0,0,0,07-12-2013
9707,1969,PhD,Married,55212.0,0,1,23-11-2012
6245,1950,PhD,Together,59292.0,0,1,13-06-2013
8234,1973,Basic,Together,27190.0,1,0,15-08-2013
1411,1952,Graduation,Divorced,82623.0,0,0,10-11-2013
8553,1965,Graduation,Married,44300.0,1,1,23-06-2013
1826,1970,Graduation,Divorced,84835.0,0,0,16-06-2014
8842,1971,Graduation,Widow,30372.0,1,1,25-12-2012
11030,1976,Master,Married,33181.0,1,0,03-01-2014
2579,1957,Graduation,Married,71113.0,0,1,17-12-2013
175,1986,Graduation,Married,71952.0,1,0,10-01-2013
9185,1966,PhD,Single,69759.0,0,0,28-10-2013
11056,1974,Graduation,Married,72099.0,0,0,27-10-2012
9365,1976,PhD,Single,60000.0,0,1,22-12-2012
6201,1978,Graduation,Single,38643.0,1,1,29-11-2013
2061,1955,Graduation,Married,50737.0,0,1,11-05-2013
6184,1969,PhD,Married,68462.0,0,0,12-12-2012
6142,1943,Master,Married,65073.0,0,0,20-08-2013
4107,1948,PhD,Together,46681.0,0,2,08-10-2013
7274,1957,Graduation,Married,78618.0,0,0,28-09-2012
9336,1969,PhD,Widow,62187.0,0,1,22-03-2014
2958,1978,Graduation,Married,28442.0,2,0,24-02-2014
933,1978,PhD,Married,37717.0,1,0,23-11-2012
5837,1967,Graduation,Married,51479.0,1,1,28-12-2012
10704,1969,Graduation,Single,54803.0,0,1,21-08-2012
5125,1960,Graduation,Married,79530.0,0,0,17-05-2013
4432,1976,Graduation,Divorced,31615.0,1,0,16-03-2013
5955,1962,Graduation,Together,72025.0,0,0,17-11-2012
2928,1975,PhD,Single,52614.0,0,1,01-12-2012
5680,1984,2n Cycle,Married,35684.0,1,0,22-04-2014
10313,1975,Graduation,Married,48178.0,1,1,28-10-2012
2557,1970,Master,Single,29548.0,1,0,29-08-2013
1245,1966,Graduation,Single,63810.0,0,1,11-11-2012
1519,1972,PhD,Single,38578.0,1,1,22-06-2013
10703,1975,Master,Single,46098.0,1,1,18-08-2012
1726,1970,Graduation,Single,22585.0,0,0,18-03-2013
4459,1989,Graduation,Single,30279.0,1,0,30-12-2012
1729,1961,PhD,Together,66426.0,0,1,02-10-2013
1517,1969,Graduation,Single,30822.0,1,0,14-06-2013
2098,1969,PhD,Married,33581.0,2,0,08-01-2013
9543,1985,Graduation,Married,19986.0,1,0,14-11-2013
6878,1954,Graduation,Widow,27421.0,0,0,12-12-2012
3310,1973,2n Cycle,Married,35688.0,2,1,22-08-2012
2724,1981,Master,Single,36143.0,1,0,30-03-2014
948,1971,Graduation,Single,10245.0,1,0,15-05-2013
6720,1968,Master,Together,43795.0,0,1,16-10-2013
6202,1960,Graduation,Together,63381.0,0,1,05-10-2012
2066,1949,Graduation,Together,38823.0,0,1,30-08-2012
9799,1968,PhD,Divorced,83664.0,1,1,08-05-2013
8318,1979,Graduation,Together,90300.0,0,0,03-01-2014
5642,1979,Master,Together,62499.0,1,0,09-12-2013
2669,1993,Graduation,Single,74293.0,0,0,04-05-2014
455,1946,PhD,Married,51012.0,0,0,18-04-2013
7683,1968,Master,Married,70777.0,0,1,25-02-2014
3428,1991,PhD,Together,68682.0,0,0,06-10-2013
7414,1971,Graduation,Married,43824.0,1,1,15-09-2012
6354,1984,Graduation,Together,15345.0,1,0,31-08-2012
798,1987,Graduation,Single,23442.0,1,0,24-12-2012
8213,1980,2n Cycle,Together,14515.0,1,0,09-11-2012
2488,1956,2n Cycle,Divorced,31395.0,1,1,23-03-2013
9999,1965,Graduation,Together,75276.0,0,0,27-09-2012
7617,1974,Graduation,Single,42373.0,1,1,15-08-2013
615,1960,Graduation,Together,30507.0,0,0,11-03-2013
2552,1955,PhD,Single,55521.0,1,2,22-10-2013
194,1965,Graduation,Married,48006.0,1,1,09-06-2014
3645,1972,PhD,Single,27213.0,1,0,30-08-2012
8890,1971,PhD,Divorced,65808.0,1,1,30-05-2014
5049,1974,PhD,Together,30351.0,1,0,06-06-2013
9973,1963,Graduation,Married,50437.0,0,2,17-10-2012
7301,1982,2n Cycle,Single,23616.0,1,0,17-11-2012
10882,1976,Graduation,Married,53858.0,0,1,09-11-2012
7030,1955,PhD,Married,66465.0,0,1,30-03-2013
7422,1987,Graduation,Single,46923.0,1,0,22-08-2012
3523,1962,Graduation,Together,75072.0,0,1,23-01-2013
7106,1943,PhD,Married,75865.0,0,0,31-03-2014
6504,1975,2n Cycle,Together,19789.0,1,0,20-11-2013
5067,1994,Graduation,Together,80134.0,0,0,14-02-2014
4216,1981,Graduation,Single,91065.0,0,0,22-02-2013
8581,1971,Master,Married,49505.0,1,1,05-03-2013
5929,1973,PhD,Married,37401.0,1,0,06-05-2014
3129,1983,Graduation,Married,30096.0,1,0,22-05-2014
6528,1982,Master,Together,18492.0,1,0,05-06-2014
1361,1974,Master,Married,82584.0,0,0,04-06-2013
6932,1941,PhD,Married,93027.0,0,0,13-04-2013
7284,1953,Graduation,Married,48686.0,1,2,04-12-2013
1340,1986,Graduation,Married,92910.0,0,0,24-04-2014
8746,1989,Graduation,Married,75433.0,1,0,05-04-2014
5987,1989,2n Cycle,Together,10404.0,1,0,04-05-2014
3767,1968,Graduation,Married,61314.0,0,1,25-04-2013
3725,1961,PhD,Single,84865.0,0,0,09-05-2013
4324,1989,Graduation,Married,42387.0,1,0,29-10-2012
238,1967,2n Cycle,Together,67309.0,1,1,23-01-2013
6694,1964,Graduation,Married,75236.0,0,1,25-11-2013
498,1970,Graduation,Single,30015.0,1,0,02-02-2014
9347,1956,Master,Together,50943.0,0,1,21-06-2013
9699,1966,Graduation,Divorced,67272.0,0,1,21-12-2013
10664,1949,Master,Widow,51529.0,0,1,07-09-2013
5455,1971,PhD,Married,32011.0,1,0,22-08-2013
456,1986,2n Cycle,Married,7500.0,1,0,07-02-2013
5012,1989,Graduation,Married,28691.0,1,0,04-07-2013
7495,1948,PhD,Married,56223.0,0,1,20-12-2013
5029,1946,Graduation,Married,18100.0,0,0,06-08-2013
10642,1989,Graduation,Single,30279.0,1,0,30-12-2012
2106,1974,2n Cycle,Married,20130.0,0,0,17-03-2014
10364,1959,Graduation,Divorced,23295.0,0,0,13-07-2013
5954,1972,Master,Divorced,42618.0,1,0,09-10-2013
1137,1964,Graduation,Single,81246.0,0,0,29-12-2013
2541,1976,Graduation,Married,24027.0,1,0,09-06-2013
1142,1953,PhD,Married,55707.0,0,1,22-12-2013
2276,1955,Graduation,Single,57959.0,0,1,02-05-2013
2807,1969,Graduation,Married,56796.0,0,1,16-02-2013
6471,1971,Master,Single,36230.0,1,0,17-10-2013
6131,1980,2n Cycle,Married,70829.0,1,1,01-12-2013
6233,1976,Graduation,Married,65991.0,0,1,07-09-2012
4148,1972,Graduation,Married,38988.0,1,2,20-08-2012
4947,1966,2n Cycle,Single,89572.0,0,0,15-09-2012
3225,1984,Master,Married,42207.0,1,0,01-04-2013
7540,1952,Graduation,Married,50300.0,0,1,25-05-2014
10648,1982,2n Cycle,Together,66664.0,0,0,25-09-2012
1992,1964,Graduation,Married,60597.0,0,1,01-01-2014
7851,1949,Graduation,Widow,70165.0,0,0,22-09-2013
8594,1958,PhD,Widow,50520.0,0,1,28-01-2014
7059,1963,Graduation,Married,80124.0,0,0,26-06-2014
2815,1975,Graduation,Married,33183.0,1,0,24-02-2014
2416,1969,PhD,Single,66582.0,0,0,03-03-2014
7999,1955,PhD,Together,75261.0,0,0,23-04-2013
9213,1970,Graduation,Widow,31880.0,1,0,31-10-2012
